sweep_id,mae/x,mae/y,mae/z,mae/pitch,mae/roll,mae/yaw,drift/final_drift_rate,drift/avg_drift_rate,drift/max_drift,drift/sum_of_drift,drift/hausdorff,ddf/5pt-avg_global_displacement_error,ddf/5pt-max_global_displacement_error,ddf/5pt-avg_local_displacement_error,ddf/5pt-max_local_displacement_error,ddf/5pt-tusrec_final_score,ddf/5pt-relative_global_err_pct,inference_time,total_time
sweep_00021,5.068212226291455,7.302011546702497,40.52409856710244,7.427587222464915,5.048419634605579,10.144482147301307,37.68281768350498,54.455084166435824,67.97485115819433,25054.241591610553,67.90859156377037,44.587467193603516,74.19307708740234,0.2203398048877716,0.9680510759353638,0.5857114562780502,0.5411416292190552,0.9959468841552734,4.897792816162109
sweep_00022,8.106457542041406,1.7009561215194404,28.62936726327749,4.883969616324578,5.417820032554502,3.9667572182024418,33.096994906648675,31.177522219819206,61.182106789068435,20666.722814991117,60.82282316567279,31.258899688720703,62.31903076171875,0.24372854828834534,0.8935195207595825,0.6128158100258451,0.3160315155982971,1.1504027843475342,5.680032253265381
sweep_00023,3.2050460844586404,11.986422623982257,36.534253022231646,11.685848485000161,6.901077376406384,16.139799391715737,38.934637942434854,46.49590939299641,67.53073118922042,24128.1938138397,67.20228712306424,46.38181686401367,81.2511978149414,0.3089180290699005,1.0421926975250244,0.5663718309192898,0.48131439089775085,1.1778156757354736,5.338364362716675
sweep_00024,6.422872210859711,13.038812502536919,24.777306402124193,2.275117925564624,11.221358301117181,10.6163273339074,39.178997642810884,27.356609279101235,71.08256966717354,16929.409347925644,67.1856367821253,32.40663528442383,75.04713439941406,0.22848659753799438,0.768184244632721,0.6353728369671523,0.33422577381134033,1.022578239440918,4.853947162628174
sweep_00025,7.4779225510379,10.879474172088422,18.400875561353704,7.303577385718109,2.329131712662449,14.161415481513894,26.818762547278457,24.448736588146453,49.633120851438555,13334.137954298592,49.54506716807263,30.76001739501953,59.556640625,0.25882816314697266,1.0009777545928955,0.6124706203644508,0.3335849344730377,0.9587013721466064,4.610058307647705
sweep_00026,7.1301630871867445,10.085054287636778,32.23856226726584,3.0728984079650736,9.679480639420916,6.097852304885278,44.15052144284693,32.84745207212085,85.66548543466416,16957.3817340623,80.58514685153682,35.48334884643555,86.76963806152344,0.2364448457956314,0.8831801414489746,0.6616713879357989,0.3399512767791748,0.842397928237915,4.20622181892395
sweep_00027,10.551012588442484,8.803876855860985,6.8399474929803254,6.900622814926634,3.2736796059410356,8.448337786278834,21.500942578879577,20.74379782236495,34.68933820984339,6787.443703256352,34.68933820984339,19.33312225341797,40.7956428527832,0.18211990594863892,0.6342381834983826,0.6194754297858296,0.28161585330963135,0.7700240612030029,5.215472459793091
sweep_00028,6.738200479347373,11.295812183267529,44.72705257624903,11.934997708697615,11.144561410193363,5.917205276778606,54.72561809792218,51.11247374641885,106.4849561779202,32027.209113139812,106.4849561779202,47.80470275878906,107.36006927490234,0.26637497544288635,1.5490022897720337,0.6913799854238412,0.5122740268707275,1.1562962532043457,5.376587629318237
sweep_00029,10.76317651459564,16.192747066441612,36.40649633328728,8.138339566787144,4.147435756521541,10.394428171320364,30.92731559816387,48.15099635118053,68.68997941134255,26572.128672906707,68.47452221910913,45.06602096557617,75.53498840332031,0.2597699463367462,1.4112437963485718,0.6096519594974074,0.4957451820373535,1.0412824153900146,5.137153148651123
sweep_00030,8.229906628526379,8.877570271019822,29.894788828730473,14.130884746526425,10.874526335466014,1.1973596582612984,41.89879755571782,34.78254376729275,73.85912020261691,19687.40709820954,66.84975569675568,34.66139602661133,74.87662506103516,0.2142585813999176,0.5120640993118286,0.5593325763937419,0.3697088360786438,1.1247859001159668,4.805956840515137
