quantile,scale,fdr,gpe,lpe,tusrec_final_score
0.3,0.7,60.459052560996746,11.630395889282227,0.1790266235669454,0.6802985759957046
0.3,0.8,82.6155569730292,9.602400620778402,0.17247194051742554,0.652429061634091
0.3,0.9,121.16204787153411,10.468666871388754,0.1775747314095497,0.6224930942159314
0.3,1.0,169.85280351825944,13.753466288248697,0.19311615079641342,0.6262159743962554
0.4,0.0,101.69733467824994,39.47697957356771,0.4014151344696681,0.6238725744480315
0.4,0.1,102.61763930510504,35.44049199422201,0.3618919452031453,0.6299541230964341
0.4,0.2,101.7853003615899,31.34115695953369,0.32351461549599964,0.6372895450394142
0.4,0.3,97.20756140175432,27.171617825826008,0.28674111266930896,0.6475126645662116
0.4,0.4,87.98806726465881,22.946679433186848,0.25233397881189984,0.659295365125614
0.4,0.5,74.4347224157205,18.72225554784139,0.22149993975957236,0.6708139795392466
0.4,0.6,60.401341209378785,14.657696406046549,0.19615311920642853,0.6804238672198227
0.4,0.7,58.638694906035404,11.13272245724996,0.17893379429976145,0.6791111577594048
0.4,0.8,79.9600879769109,9.1203773021698,0.17242541164159775,0.6529273148905977
0.4,0.9,117.63984850273958,10.160246054331461,0.17747241258621216,0.6246258999465062
0.4,1.0,165.38771728119966,13.608577251434326,0.19286962101856867,0.6267692958508114
0.5,0.0,108.84442133288508,39.25100580851237,0.397705798347791,0.6269264780988467
0.5,0.1,107.86014673830981,35.21088091532389,0.3588333974281947,0.6329241761593046
0.5,0.2,105.56777359996693,31.100226720174152,0.3210861434539159,0.6393303354560905
0.5,0.3,100.02123451997056,26.911932627360027,0.284915030002594,0.6486487185009199
0.5,0.4,90.07521898697907,22.66247812906901,0.25106828411420185,0.659908967659077
0.5,0.5,75.74567193551377,18.41149838765462,0.22072661419709524,0.6710309264377735
0.5,0.6,60.23185343598994,14.31866423288981,0.19577962656815848,0.6793058715043824
0.5,0.7,57.2973700897416,10.755676825841268,0.17880071451266608,0.6752816510740395
0.5,0.8,76.2424035457843,8.749078750610352,0.17233080665270487,0.6489357862834259
